DATAFLOW,LAST UPDATE,freq,int_rt,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-10-27,0.06000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-10-28,0.10000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-10-29,0.15000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-11-01,0.16000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-11-02,0.08000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-11-03,0.06000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-11-04,0.00000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-11-05,-0.06000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-11-08,-0.03000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-11-09,-0.08000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-11-10,0.00000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-11-11,0.01000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-11-12,-0.02000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-11-15,-0.01000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-11-16,-0.02000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-11-17,0.00000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-11-18,-0.04000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-11-19,-0.10000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-11-22,-0.05000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-11-23,0.05000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-11-24,0.05000,
ESTAT:IRT_LT_MCBY_D(1.0),02/05/22 11:00:00,D,MCBY,AT,2021-11-25,0.01000,
