mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX;HRZB00ICBEX6;16.11.2021;2000,6;2000,6;1993,83;1994,07;-0,31;5009153,74
XZAG;CBX;HRZB00ICBEX6;15.11.2021;2012,18;2015,41;2000,19;2000,19;-0,6;3297230,3
XZAG;CBX;HRZB00ICBEX6;12.11.2021;2008,8;2014;2008,8;2012,18;0,17;4903101,75
XZAG;CBX;HRZB00ICBEX6;11.11.2021;2004,32;2010,69;2003,74;2008,8;0,22;6666701,6
XZAG;CBX;HRZB00ICBEX6;10.11.2021;2011,4;2015,02;2004,32;2004,32;-0,28;3636988,45
XZAG;CBX;HRZB00ICBEX6;9.11.2021;2012,53;2018,65;2007,97;2009,85;-0,08;2753798,65
XZAG;CBX;HRZB00ICBEX6;8.11.2021;1996,95;2016,28;1991,42;2011,5;0,7;2695014,96
XZAG;CBX;HRZB00ICBEX6;5.11.2021;2003,21;2012,39;1997,42;1997,42;-0,35;3785403
XZAG;CBX;HRZB00ICBEX6;4.11.2021;2016,67;2021,61;2003,13;2004,44;-0,64;4684602,16
XZAG;CBX;HRZB00ICBEX6;3.11.2021;2002,02;2018,59;1995,74;2017,34;0,74;7898655,59
XZAG;CBX;HRZB00ICBEX6;2.11.2021;2033,92;2033,92;2002,51;2002,56;-1,47;11862552,13
XZAG;CBX;HRZB00ICBEX6;29.10.2021;2058,26;2061,82;2032,05;2032,51;-1,25;12700187,4
XZAG;CBX;HRZB00ICBEX6;28.10.2021;2029,86;2061,84;2028,15;2058,26;1,52;8424371,56
XZAG;CBX;HRZB00ICBEX6;27.10.2021;2047,57;2047,57;2022,58;2027,4;-0,96;9631667,28
XZAG;CBX;HRZB00ICBEX6;26.10.2021;2046,62;2053,64;2044,02;2047,05;0;7365117,23
XZAG;CBX;HRZB00ICBEX6;25.10.2021;2050,66;2056,61;2044,22;2046,98;-0,07;7686790,46
XZAG;CBX;HRZB00ICBEX6;22.10.2021;2046,08;2056,16;2046,08;2048,34;0,09;1886596,6
XZAG;CBX;HRZB00ICBEX6;21.10.2021;2049,92;2058,9;2046,49;2046,49;-0,16;3670443,1
