mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX10;HRZB00ICBE11;24.9.2021;1206,68;1210,09;1206,54;1208,59;0,16;3307233,3
XZAG;CBX10;HRZB00ICBE11;23.9.2021;1197,82;1208,85;1197,82;1206,68;0,74;4249342,1
XZAG;CBX10;HRZB00ICBE11;22.9.2021;1192,99;1198,03;1191,94;1197,82;0,5;3106373,9
XZAG;CBX10;HRZB00ICBE11;21.9.2021;1191,9;1195,81;1188,73;1191,89;0,11;21736689
XZAG;CBX10;HRZB00ICBE11;20.9.2021;1203,89;1204,07;1187,5;1190,61;-1,17;15127508
XZAG;CBX10;HRZB00ICBE11;17.9.2021;1203,17;1206,25;1202,77;1204,71;0,13;12221177,2
XZAG;CBX10;HRZB00ICBE11;16.9.2021;1205,62;1205,62;1201,62;1203,17;-0,01;11727327,63
XZAG;CBX10;HRZB00ICBE11;15.9.2021;1204,54;1206,16;1201,5;1203,32;-0,1;2576154,4
XZAG;CBX10;HRZB00ICBE11;14.9.2021;1203;1205,8;1200,28;1204,54;0,16;4672659,55
XZAG;CBX10;HRZB00ICBE11;13.9.2021;1205,28;1205,28;1198,75;1202,59;-0,39;3193592,69
XZAG;CBX10;HRZB00ICBE11;10.9.2021;1200,19;1207,33;1200,19;1207,33;0,58;1657836,19
XZAG;CBX10;HRZB00ICBE11;9.9.2021;1199,47;1201,65;1196,89;1200,42;0,01;1445572,58
XZAG;CBX10;HRZB00ICBE11;8.9.2021;1204,02;1204,75;1200,35;1200,35;-0,3;1900058,57
XZAG;CBX10;HRZB00ICBE11;7.9.2021;1204,03;1205,84;1203,22;1204,02;-0,01;3668650,59
XZAG;CBX10;HRZB00ICBE11;6.9.2021;1205,69;1208,46;1204,12;1204,12;-0,19;2455471,5
XZAG;CBX10;HRZB00ICBE11;3.9.2021;1204,25;1208;1204,25;1206,45;0,22;1196348,76
XZAG;CBX10;HRZB00ICBE11;2.9.2021;1208,56;1209,02;1203,79;1203,79;-0,39;1656166,63
XZAG;CBX10;HRZB00ICBE11;1.9.2021;1207,32;1213,49;1206,88;1208,56;0,1;5149090
XZAG;CBX10;HRZB00ICBE11;31.8.2021;1207,79;1211,15;1205,96;1207,32;-0,04;4046873,67
XZAG;CBX10;HRZB00ICBE11;30.8.2021;1204,03;1207,79;1202,08;1207,79;0,38;1993469,7
XZAG;CBX10;HRZB00ICBE11;27.8.2021;1205,12;1208,79;1202,83;1203,21;-0,17;2108387,13
XZAG;CBX10;HRZB00ICBE11;26.8.2021;1201,12;1208,19;1200,56;1205,31;0,31;2225500,62
XZAG;CBX10;HRZB00ICBE11;25.8.2021;1202,97;1204,97;1201;1201,56;-0,16;2460930,9
XZAG;CBX10;HRZB00ICBE11;24.8.2021;1201,86;1205,99;1201,42;1203,43;0,13;5126432,8
XZAG;CBX10;HRZB00ICBE11;23.8.2021;1199,45;1201,95;1196,96;1201,86;0,28;6218773,3
XZAG;CBX10;HRZB00ICBE11;20.8.2021;1201,86;1202,55;1198,52;1198,52;-0,23;1474846,5
XZAG;CBX10;HRZB00ICBE11;19.8.2021;1208,26;1208,26;1200,79;1201,23;-0,53;3055949,31
XZAG;CBX10;HRZB00ICBE11;18.8.2021;1212,33;1213,59;1203,71;1207,63;-0,34;1475623,27
XZAG;CBX10;HRZB00ICBE11;17.8.2021;1213,17;1213,8;1210,79;1211,7;-0,1;2157836,3
XZAG;CBX10;HRZB00ICBE11;16.8.2021;1210,16;1214,1;1209,13;1212,89;0,12;2543373,68
XZAG;CBX10;HRZB00ICBE11;13.8.2021;1207,5;1211,48;1207,13;1211,48;0,29;1496076,88
XZAG;CBX10;HRZB00ICBE11;12.8.2021;1211,67;1212,63;1207,97;1207,97;-0,31;3004963,1
XZAG;CBX10;HRZB00ICBE11;11.8.2021;1213,14;1213,58;1210,67;1211,67;-0,2;2098441,68
XZAG;CBX10;HRZB00ICBE11;10.8.2021;1209,71;1214,42;1206,44;1214,1;0,36;2023556,95
XZAG;CBX10;HRZB00ICBE11;9.8.2021;1205,25;1210,99;1203,63;1209,71;0,37;2803234,85
