date;open_price;high_price;low_price;last_price;vwap_price;change_prev_close_percentage;num_trades;volume;turnover
21.5.2019;181;181;180;181;180,5929825;0,56;14;855;154407
20.5.2019;179,5;180,5;179;180;180,1427181;0,56;13;3083;555380
17.5.2019;179;179;178,5;179;178,9686957;-0,56;11;575;102907
16.5.2019;180;180;180;180;180;0,84;3;36;6480
15.5.2019;179;179;178,5;178,5;178,8633178;-0,56;8;428;76553,5
14.5.2019;179,5;179,5;179,5;179,5;179,5;-0,28;5;197;35361,5
13.5.2019;182;182;180;180;181,1546463;-1,1;20;1442;261225
10.5.2019;182,5;183;181,5;182;181,9451064;-0,27;23;1175;213785,5
9.5.2019;182,5;183;182,5;182,5;182,5105634;0;7;568;103666
8.5.2019;183;183;182;182,5;182,7738928;-0,27;12;1716;313640
7.5.2019;183;183;182;183;182,862069;0;12;870;159090
6.5.2019;182,5;183;182,5;183;182,8830549;0;9;838;153256
3.5.2019;182;183;182;183;182,2080666;0,55;12;781;142304,5
2.5.2019;181,5;182;181,5;182;181,5173776;0;12;633;114900,5
30.4.2019;182;182,5;181,5;182;181,8959184;0;10;490;89129
29.4.2019;182,5;184,5;181,5;182;182,4044586;-1,36;21;1256;229100
26.4.2019;183;184,5;183;184,5;184,0461883;0,82;20;1115;205211,5
25.4.2019;183;184;183;183;183,4157754;-0,27;10;748;137195
24.4.2019;182,5;183,5;182;183,5;182,0390947;1,38;7;243;44235,5
23.4.2019;182;182;181;181;181,7427717;-0,28;17;1003;182288
18.4.2019;181;182;180,5;181,5;181,0820896;0,28;12;938;169855
17.4.2019;180;181;180;181;180,5706354;0,84;14;1621;292705
16.4.2019;179,5;180;178,5;179,5;179,8214142;-0,28;24;2489;447575,5
15.4.2019;178;180;178;180;178,9356137;0;8;497;88931
12.4.2019;178;180;178;180;178,5666004;1,69;10;1006;179638
11.4.2019;177;177;177;177;177;0,28;2;44;7788
10.4.2019;179;179;176,5;176,5;176,9153355;-1,12;12;626;110749
9.4.2019;177;178,5;177;178,5;177,7152928;1,42;17;1844;327707
8.4.2019;176;177,5;175,5;176;176,2466411;0,28;7;521;91824,5
4.4.2019;176;177,5;175,5;175,5;175,996633;-0,28;6;297;52271
3.4.2019;175;176;175;176;175,7767857;0,57;9;1344;236244
2.4.2019;176;176;175;175;175,155814;-0,28;15;1290;225951
1.4.2019;175,5;177;175,5;175,5;175,5443864;0;11;766;134467
29.3.2019;177;177;175,5;175,5;176,2558761;-0,85;12;936;164975,5
28.3.2019;177;178;177;177;177,2127072;-0,28;11;362;64151
27.3.2019;177,5;178,5;177,5;177,5;177,5683544;-0,56;10;395;70139,5
26.3.2019;180;180;178;178,5;178,0766739;-0,28;11;463;82449,5
25.3.2019;179;180,5;179;179;179,05;0;10;860;153983
22.3.2019;178,5;179;178,5;179;178,5997819;0,56;11;917;163776
21.3.2019;178;179,5;178;178;178,2992958;0;9;284;50637
20.3.2019;177,5;178,5;177,5;178;178,0486726;0,28;4;226;40239
19.3.2019;178,5;178,5;177,5;177,5;178,0613208;-1,66;12;318;56623,5
18.3.2019;180;180,5;178;180,5;179,2795311;0,28;10;1109;198821
15.3.2019;179;180;179;180;179,012605;0,84;4;1666;298235
14.3.2019;177,5;180;177,5;178,5;178,0313418;0,85;6;1021;181770
13.3.2019;178,5;178,5;177;177;177,6777778;-1,94;3;90;15991
12.3.2019;177;180,5;177;180,5;177,0330189;1,98;3;106;18765,5
11.3.2019;177;179;177;177;177,5160684;0;19;2925;519234,5
8.3.2019;179,5;179,5;175;177;177,3120363;-1,67;17;1213;215079,5
7.3.2019;181;181;180;180;180,2821782;-0,55;14;1010;182085
6.3.2019;181,5;181,5;180;181;180,210233;-0,28;15;987;177867,5
5.3.2019;181,5;181,5;180;181,5;180,4360465;0,83;5;86;15517,5
4.3.2019;183;183;180;180;181,6378184;-1,64;34;6124;1112350
1.3.2019;184;184;181;183;183,5533581;0;23;2427;445484
28.2.2019;181;183;181;183;182,0577022;2,23;26;3882;706748
27.2.2019;180;180;178;179;179,0178104;0;11;1909;341745
26.2.2019;179,5;180;178;179;179,1432692;0,56;17;520;93154,5
25.2.2019;176;178;175;178;177,3399682;2,3;26;3140;556847,5
22.2.2019;174;175,5;173;174;174,7098918;0,87;51;4438;775362,5
21.2.2019;175,5;175,5;172;172,5;174,4017028;-1,99;50;3230;563317,5
20.2.2019;176;176,5;175;176;175,7366379;-0,28;14;1160;203854,5
19.2.2019;176;176,5;175;176,5;175,3698502;0,28;13;1068;187295
18.2.2019;176;177;176;176;176,259306;0;14;1585;279371
15.2.2019;174;176;174;176;174,2652632;1,44;9;475;82776
14.2.2019;175;176;173,5;173,5;174,3898601;-0,57;9;572;99751
13.2.2019;174,5;175,5;174,5;174,5;174,8023256;-0,85;5;215;37582,5
12.2.2019;172,5;176,5;172,5;176;175,0194647;1,73;11;411;71933
11.2.2019;174;174;172,5;173;173,130186;-1,14;17;1398;242036
8.2.2019;175;175;175;175;175;0;2;120;21000
7.2.2019;177;177;175;175;175,3797376;0;12;686;120310,5
6.2.2019;174,5;176;174,5;175;175,3939394;0,29;16;1089;191004
5.2.2019;174,5;174,5;174,5;174,5;174,5;0;3;109;19020,5
4.2.2019;174,5;174,5;174,5;174,5;174,5;0;1;22;3839
1.2.2019;174,5;174,5;174,5;174,5;174,5;0,87;2;48;8376
31.1.2019;174,5;175;173;173;173,4875912;0;8;685;118839
30.1.2019;173;173,5;173;173;173,028169;0;14;1065;184275
29.1.2019;173;174;173;173;173,106946;0;19;907;157008
28.1.2019;174;174;173;173;173,8921833;-0,57;11;371;64514
